dataset,source,key,cosine_chatgpt,cosine_dipper_low,cosine_dipper_high,jaccard_chatgpt,recall_chatgpt,precision_chatgpt,jaccard_dipper_low,recall_dipper_low,precision_dipper_low,jaccard_dipper_high,recall_dipper_high,precision_dipper_high,jaccard_pegasus_slight,recall_pegasus_slight,precision_pegasus_slight,jaccard_pegasus_full,recall_pegasus_full,precision_pegasus_full,source_group
cmv,BigScience,cmv-286,0.9890227457001914,0.996879863155509,0.720090542476238,0.16666666666666666,0.3333333333333333,0.25,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,LLM
cmv,BigScience,cmv-287,0.9761763490389023,0.979478707126772,0.785785187071836,0.0,0.0,0.0,0.5,0.6,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-288,0.9943539614330621,0.9945544404330243,0.8867807101122401,0.7692307692307693,0.8333333333333334,0.9090909090909091,0.6428571428571429,0.75,0.8181818181818182,0.14285714285714285,0.16666666666666666,0.5,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,LLM
cmv,BigScience,cmv-289,0.9953466533529993,0.9959595376036005,0.9724655522164077,0.6,0.75,0.75,0.6,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.4444444444444444,0.5,0.8,LLM
cmv,BigScience,cmv-291,0.9821332201114737,0.9885097044820992,0.9211853268913981,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-292,0.9908647788990118,0.9920823996473933,0.9440250246760203,0.4166666666666667,0.5555555555555556,0.625,0.3,0.3333333333333333,0.75,0.15384615384615385,0.2222222222222222,0.3333333333333333,1.0,1.0,1.0,0.25,0.3333333333333333,0.5,LLM
cmv,BigScience,cmv-294,0.918614365025431,0.9576795099842011,0.8534512258009566,0.75,0.75,1.0,0.4,0.5,0.6666666666666666,0.0,0.0,0.0,0.75,0.75,1.0,0.5,0.5,1.0,LLM
cmv,BigScience,cmv-295,0.9780696891812355,0.9917716495902,0.5422817533379627,0.26666666666666666,0.4,0.4444444444444444,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.7,0.7,1.0,0.09090909090909091,0.1,0.5,LLM
cmv,BigScience,cmv-296,0.9894749096879133,0.9956809270661358,0.9410181686003678,0.7272727272727273,0.7272727272727273,1.0,0.5833333333333334,0.6363636363636364,0.875,0.07692307692307693,0.09090909090909091,0.3333333333333333,0.6363636363636364,0.6363636363636364,1.0,0.4166666666666667,0.45454545454545453,0.8333333333333334,LLM
cmv,BigScience,cmv-297,0.9905529653165889,0.9936392128821809,0.9434598353718936,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,1.0,0.15384615384615385,0.16666666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,1.0,0.4166666666666667,0.4166666666666667,1.0,LLM
cmv,BigScience,cmv-298,0.9724983196868751,0.9789951268820711,0.9453420850309189,0.55,0.6111111111111112,0.8461538461538461,0.4230769230769231,0.6111111111111112,0.5789473684210527,0.05,0.05555555555555555,0.3333333333333333,0.9444444444444444,0.9444444444444444,1.0,0.6842105263157895,0.7222222222222222,0.9285714285714286,LLM
cmv,BigScience,cmv-299,0.9705043349366125,0.9836138220060503,0.9468843827486528,0.7272727272727273,0.8,0.8888888888888888,0.8181818181818182,0.9,0.9,0.0,0.0,0.0,0.9,0.9,1.0,0.6,0.6,1.0,LLM
cmv,BigScience,cmv-300,0.9581980040013658,0.9492060043211926,0.8145617521871702,,,,,,,,,,,,,,,,LLM
cmv,BigScience,cmv-301,0.9836021503563019,0.997268134551303,0.87873193123574,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,LLM
cmv,BigScience,cmv-302,0.9227312987586971,0.973308036304761,0.8206412976913118,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LLM
cmv,BigScience,cmv-303,0.9944903554409632,0.9867777366743512,0.92093000139357,0.6,0.6923076923076923,0.8181818181818182,0.35294117647058826,0.46153846153846156,0.6,0.07142857142857142,0.07692307692307693,0.5,0.9230769230769231,0.9230769230769231,1.0,0.35294117647058826,0.46153846153846156,0.6,LLM
cmv,BigScience,cmv-304,0.9922299139644557,0.9962962853653401,0.9384755666119471,0.7,0.875,0.7777777777777778,0.6666666666666666,0.75,0.8571428571428571,0.07692307692307693,0.125,0.16666666666666666,0.875,0.875,1.0,0.36363636363636365,0.5,0.5714285714285714,LLM
cmv,BigScience,cmv-305,0.9908592028302773,0.9802715092692044,0.9193318188213249,1.0,1.0,1.0,0.6,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.2,0.25,0.5,LLM
cmv,BigScience,cmv-306,0.9488334610104526,0.99403389679738,0.9459763270356797,0.75,0.75,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,LLM
cmv,BigScience,cmv-307,0.9607263511253589,0.9889300194616394,0.9745938606286356,0.5,0.5,1.0,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.1,0.16666666666666666,0.2,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,0.3333333333333333,1.0,LLM
